how_old_are_you,industry,job_title,annual_salary,other_monetary_comp,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed
25-34,Computing or Tech,Software Engineer,175000,25000.0,California,Bay Area,2 - 4 years,2 - 4 years,Master's degree
25-34,Media & Digital,Associate Social Producer,58000,0.0,New York,Remote but NYC,5-7 years,2 - 4 years,College degree
25-34,Education (Higher Education),Study Abroad Coordinator,49500,3000.0,Ohio,Oxford,5-7 years,5-7 years,Master's degree
25-34,Business or Consulting,Sr data consultant,107300,8000.0,Arizona,Phoenix,5-7 years,5-7 years,College degree
35-44,Media & Digital,Video Producer,79000,20000.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree
35-44,Education (Primary/Secondary),High school teacher,52700,1000.0,Louisiana,Zachary,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Computing or Tech,Level 1 Support,40000,0.0,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree
45-54,Health care,Administrative Assistant,58000,350.0,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree
25-34,Sales,Inside Sales - Projects,64000,1500.0,Ohio,Cincinnati,5-7 years,5-7 years,Master's degree
35-44,Education (Higher Education),Career Advisor,55000,,Maryland,Baltimore,11 - 20 years,5-7 years,Master's degree
25-34,"Accounting, Banking & Finance",Program Manager,87000,,Delaware,Wilmington,11 - 20 years,2 - 4 years,Master's degree
25-34,Law,Associate Attorney,76500,250.0,Connecticut,Rocky Hill,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
25-34,Computing or Tech,Back End Developer,115000,,Kansas,Wichita,8 - 10 years,8 - 10 years,College degree
45-54,Nonprofits,Publications & Communications Manager,73500,,Georgia,Atlanta metro area,31 - 40 years,21 - 30 years,College degree
25-34,Education (Primary/Secondary),College Counselor,54000,,Connecticut,Hartford,8 - 10 years,8 - 10 years,College degree
55-64,Nonprofits,For of HR,97000,,Montana,Missoula,21 - 30 years,21 - 30 years,Master's degree
25-34,Computing or Tech,Director,317000,50000.0,New York,New York,2 - 4 years,2 - 4 years,Master's degree
45-54,"Science Research, government",Senior scientist,131000,0.0,New Mexico,Albuquerque,21 - 30 years,21 - 30 years,PhD
35-44,"Accounting, Banking & Finance",Vice President,131000,15000.0,Massachusetts,Boston,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
55-64,"Accounting, Banking & Finance",Plant Accountant,83000,6000.0,Maryland,Baltimore,21 - 30 years,21 - 30 years,Master's degree
25-34,Agriculture or Forestry,Arborist,48000,0.0,Florida,Winter Park,2 - 4 years,2 - 4 years,College degree
45-54,Computing or Tech,Systems Analyst,112000,10000.0,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree
35-44,Recruitment or HR,HR Business Partner,145000,8500.0,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Sr Professional Staff I,135000,0.0,Maryland,Columbia,2 - 4 years,1 year or less,PhD
25-34,"Leisure, Sport & Tourism",Facilities Project Coordinator,74000,10000.0,New York,New York,5-7 years,5-7 years,College degree
35-44,Nonprofits,Librarian,58657,0.0,Oklahoma,Oklahoma City,8 - 10 years,8 - 10 years,Master's degree
25-34,Law,Records Specialist,33000,0.0,Oregon,Portland,5-7 years,2 - 4 years,Master's degree
35-44,"Accounting, Banking & Finance",Executive assistant,95000,10000.0,California,San Francisco,11 - 20 years,1 year or less,College degree
45-54,Education (Higher Education),Senior IT Professional,93500,0.0,Wisconsin,Madison,31 - 40 years,21 - 30 years,College degree
55-64,Government and Public Administration,Bureau chief,125000,0.0,New York,New York City,31 - 40 years,21 - 30 years,College degree
25-34,Nonprofits,Program Manager,75000,0.0,Washington,Seattle,5-7 years,5-7 years,College degree
35-44,Computing or Tech,Engineering Team Lead,120000,50000.0,Indiana,Indianapolis,11 - 20 years,11 - 20 years,College degree
25-34,Law,Senior Contracts specialist,97125,1900.0,Massachusetts,Framingham,8 - 10 years,8 - 10 years,College degree
25-34,Health care,Diet Tech,47940,,Ohio,Cincinnati,5-7 years,2 - 4 years,Master's degree
25-34,"Accounting, Banking & Finance",Total Rewards Manager,120000,38000.0,New York,New York,5-7 years,5-7 years,College degree
18-24,Engineering or Manufacturing,Project Manager,98000,44000.0,California,Los Angeles,2 - 4 years,2 - 4 years,College degree
18-24,"Accounting, Banking & Finance",Analyst,90000,0.0,New York,New York,1 year or less,1 year or less,College degree
35-44,Government and Public Administration,Human resources assistant,29998,,Texas,Huntsville,8 - 10 years,1 year or less,Some college
45-54,Art & Design,User Research & Design Lead,91000,,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree
25-34,Law,Associate Attorney,245000,10000.0,California,San Francisco,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Education (Higher Education),Digital Scholarship Librarian,55000,0.0,Ohio,Cleveland,11 - 20 years,8 - 10 years,Master's degree
45-54,Business or Consulting,Lead Auditor,45000,,Colorado,Denver,31 - 40 years,21 - 30 years,College degree
25-34,"Marketing, Advertising & PR",Marketing Coordinator,54900,1100.0,Georgia,Atlanta,5-7 years,5-7 years,College degree
35-44,Education (Higher Education),Administrative Officer,117000,0.0,New York,Brooklyn,21 - 30 years,8 - 10 years,Master's degree
35-44,Nonprofits,Director of Education,80000,,Massachusetts,Boston,11 - 20 years,8 - 10 years,PhD
55-64,"Accounting, Banking & Finance",Tax accountant,75000,5000.0,New York,Albany,21 - 30 years,21 - 30 years,Master's degree
45-54,Computing or Tech,Senior Manager of Customer Enablement,150000,0.0,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree
45-54,Government and Public Administration,Instructor,46758,,New Jersey,Central NJ,11 - 20 years,2 - 4 years,Master's degree
45-54,Engineering or Manufacturing,Technical Specialist,149500,8000.0,Michigan,Northville,31 - 40 years,21 - 30 years,College degree
25-34,Computing or Tech,IT Support Engineer I,74000,500.0,California,Santa Monica,8 - 10 years,5-7 years,College degree
35-44,"Accounting, Banking & Finance",Finance Director,65000,1000.0,West Virginia,South Charleston,11 - 20 years,11 - 20 years,College degree
35-44,Education (Higher Education),Director of Archives and Special Collections,90119,0.0,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree
25-34,Insurance,Client Specialist,66100,3000.0,Illinois,Chicago,11 - 20 years,5-7 years,College degree
35-44,Education (Higher Education),Assistant Director of Academic Advising,54000,6000.0,Nebraska,,11 - 20 years,11 - 20 years,Master's degree
25-34,Retail,"Senior Manager, Credit Finance",95000,8550.0,Ohio,Cincinnati,8 - 10 years,8 - 10 years,Master's degree
35-44,Health care,Clinical Research Associate,80000,,Washington,Seattle,11 - 20 years,2 - 4 years,Master's degree
35-44,Recruitment or HR,People and Business Operations Manager,65000,0.0,Massachusetts,Boston,11 - 20 years,5-7 years,Master's degree
35-44,Computing or Tech,Product Manager,126000,3000.0,Missouri,Kansas City,11 - 20 years,8 - 10 years,College degree
25-34,"Marketing, Advertising & PR",Marketing Strategist,62500,2600.0,Tennessee,Memphis,5-7 years,5-7 years,Master's degree
25-34,"Marketing, Advertising & PR",Communications Manager I,53000,,Michigan,East Lansing,5-7 years,5-7 years,College degree
18-24,Government and Public Administration,International affairs consultant,65000,7000.0,New York,NYC,5-7 years,2 - 4 years,Master's degree
45-54,Computing or Tech,Lead Business System Analyst,107705,0.0,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,Master's degree
35-44,Social Work,Program director/therapist,74400,0.0,New Jersey,Montclair,11 - 20 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Software Engineer 2,134000,20000.0,Washington,Seattle,5-7 years,5-7 years,College degree
25-34,Media & Digital,Deputy Editor,97000,0.0,New York,New York City,11 - 20 years,11 - 20 years,College degree
35-44,Engineering or Manufacturing,Design Supervisor,75000,0.0,Michigan,Macomb,11 - 20 years,11 - 20 years,College degree
25-34,Government and Public Administration,Emergency Management Specialist,103690,5000.0,District of Columbia,Washington,5-7 years,5-7 years,Master's degree
25-34,Media & Digital,Editorial Analyst,50000,0.0,Illinois,Chicago,5-7 years,1 year or less,College degree
25-34,Computing or Tech,Data Scientist,120000,,New York,New York,5-7 years,5-7 years,Master's degree
18-24,Hospitality & Events,Server/waitress,31200,,Washington,Bellingham,8 - 10 years,2 - 4 years,College degree
25-34,Education (Higher Education),Digital Archivist,50128,,Wyoming,Laramie,5-7 years,5-7 years,Master's degree
25-34,Nonprofits,Project manager,70000,0.0,New York,New York,8 - 10 years,8 - 10 years,Master's degree
35-44,Educational Publishing,"Senior Editor, Mathematics",90000,1000.0,New Hampshire,Manchester,11 - 20 years,11 - 20 years,Some college
35-44,Nonprofits,Social Worker,122500,0.0,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree
25-34,Health care,Occupational Therapist,110000,1500.0,Georgia,Atlanta,2 - 4 years,2 - 4 years,Master's degree
45-54,Nonprofits,Program Manager & Staff Attorney,47076,500.0,Illinois,Chicago,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Art & Design,Sr. Manager of Technical Services,125000,3000.0,California,Los Angeles,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Security Researcher,70000,,Georgia,Atlanta,8 - 10 years,2 - 4 years,College degree
55-64,Utilities & Telecommunications,Programmer/Analyst II,78292,8000.0,Washington,Kennewick,31 - 40 years,31 - 40 years,College degree
25-34,Film Post-Production,Pipeline Developer,95000,0.0,California,Los Angeles,5-7 years,5-7 years,College degree
25-34,Nonprofits,Digital Marketing Manager,60000,,Illinois,Winnetka,5-7 years,5-7 years,College degree
25-34,Computing or Tech,Software Engineer,127500,,California,San Francisco,5-7 years,1 year or less,College degree
35-44,Nonprofits,Digital Marketing Specialist,45000,,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree
35-44,Government and Public Administration,Chemist,103736,750.0,Pennsylvania,Pittsburgh,8 - 10 years,8 - 10 years,Master's degree
45-54,Engineering or Manufacturing,Chemical Technician II,54000,5000.0,California,Los Angeles,11 - 20 years,5-7 years,Some college
55-64,Government and Public Administration,"Senior Manager, Bus Scheduling",115600,0.0,New York,NYC,31 - 40 years,31 - 40 years,Master's degree
35-44,Computing or Tech,Technical Support Engineer,114100,14000.0,California,Sacramento,21 - 30 years,5-7 years,College degree
25-34,Property or Construction,Data Analyst,110000,5000.0,Virginia,Richmond,8 - 10 years,1 year or less,College degree
25-34,Nonprofits,"Deputy Director, Digital Media",58000,0.0,Virginia,Arlington,8 - 10 years,5-7 years,Master's degree
55-64,Health care,Physician,180000,40000.0,Pennsylvania,Allentown,31 - 40 years,31 - 40 years,PhD
35-44,Renewable Energy Development,Director of Business Development,170000,50000.0,Massachusetts,Boston,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
25-34,Sales,Territory Manager,33000,0.0,Minnesota,Duluth,5-7 years,2 - 4 years,College degree
25-34,Retail,Assistant Manager,17472,,Kentucky,Murray,11 - 20 years,1 year or less,High School
25-34,Transport or Logistics,Air traffic controller,93500,15000.0,Kansas,Wichita,2 - 4 years,2 - 4 years,College degree
45-54,Computing or Tech,Engineering manager,120000,,Alabama,Birmingham,11 - 20 years,8 - 10 years,College degree
35-44,Media & Digital,Managing Editor,56000,0.0,Ohio,Cincinnati,21 - 30 years,11 - 20 years,College degree
25-34,Engineering or Manufacturing,Environmental Scientist,77000,5000.0,Vermont,Montpelier,8 - 10 years,8 - 10 years,Master's degree
25-34,Nonprofits,Senior editor,79000,,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree
35-44,Computing or Tech,Proposal Manager,85000,5000.0,Colorado,Denver,11 - 20 years,11 - 20 years,College degree
65 or over,Education (Higher Education),Associate Director,100000,0.0,Michigan,EAST LANSING,31 - 40 years,31 - 40 years,Master's degree
35-44,Automotive finance and insurance,Marketing communications manager,87500,2000.0,North Carolina,Norcross,11 - 20 years,5-7 years,College degree
35-44,Digital Marketing,"Senior SEO Technician, Founder",76700,0.0,Florida,West Palm Beach,11 - 20 years,8 - 10 years,College degree
35-44,Government and Public Administration,Attorney,130000,2500.0,Illinois,Peoria,11 - 20 years,11 - 20 years,PhD
45-54,Health care,Associate Professor,147000,0.0,Missouri,Saint Louis,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Recruitment or HR,Talent Acquisition Partner,55,,Nevada,Las Vegas,2 - 4 years,11 - 20 years,Master's degree
25-34,Law,Research Analyst,79000,0.0,District of Columbia,Washington,11 - 20 years,5-7 years,Master's degree
45-54,"Marketing, Advertising & PR",Senior Copywriter,95000,0.0,Michigan,Detroit,21 - 30 years,11 - 20 years,Master's degree
25-34,Nonprofits,Training Director,81000,0.0,California,Oakland,8 - 10 years,2 - 4 years,Master's degree
35-44,"Accounting, Banking & Finance",Director of capital planning,120000,40000.0,Illinois,Northbrook,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Computing or Tech,Senior Data Scientist,150000,75000.0,Illinois,Chicago,5-7 years,5-7 years,Master's degree
45-54,Sales,Inside Sales Rep,87000,,Texas,Austin,11 - 20 years,11 - 20 years,Some college
25-34,"Accounting, Banking & Finance",Revenue auditor,58000,0.0,Washington,Tacoma,2 - 4 years,2 - 4 years,College degree
35-44,Government and Public Administration,Housing Programs Specialist,50000,100.0,Colorado,Colorado Springs,21 - 30 years,11 - 20 years,College degree
45-54,Government and Public Administration,Medical Officer,180000,,District of Columbia,Washington,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,Computing or Tech,Director Product,300000,15000.0,New York,New York City,11 - 20 years,8 - 10 years,College degree
18-24,Engineering or Manufacturing,Transmission Line Engineer,65000,,California,San Diego,1 year or less,1 year or less,College degree
35-44,Education (Primary/Secondary),Assistant Principal,113000,0.0,Illinois,Chicago,11 - 20 years,11 - 20 years,PhD
45-54,Education (Higher Education),Student Success Center Speciaist-Advisor,32000,,West Virginia,Charleston,2 - 4 years,2 - 4 years,Master's degree
35-44,Health care,Operations Lead,110000,15000.0,Missouri,Kansas City,8 - 10 years,8 - 10 years,Master's degree
35-44,Law,Assistant Counsel,82000,0.0,Texas,Austin,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
45-54,"Accounting, Banking & Finance",Senior Tax Analyst,49088,3000.0,West Virginia,Martinsburg,21 - 30 years,5-7 years,College degree
25-34,"Marketing, Advertising & PR",Client Marketing Manager,50000,,Florida,Daytona Beach,2 - 4 years,2 - 4 years,College degree
25-34,Scientific Research,Post Doctorate Researcher,76000,0.0,Washington,Richland,8 - 10 years,5-7 years,PhD
25-34,Education (Higher Education),Instructional Technologist,67000,,Massachusetts,Boston,5-7 years,2 - 4 years,Master's degree
25-34,Entertainment,Production Manager,74000,2000.0,California,Los Angeles,8 - 10 years,5-7 years,College degree
45-54,Health care,Physical Therapist Assistant,49920,0.0,Ohio,Akron,2 - 4 years,2 - 4 years,College degree
45-54,Media & Digital,SVP,285248,102786.0,Tennessee,staying anonymous,21 - 30 years,21 - 30 years,College degree
25-34,Health care,Biosafety officer/Medical Lab Scientist,112000,3000.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Lead Web Developer,130000,3000.0,Maryland,Ellicott City,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Software engineer,110000,,Texas,Houston,8 - 10 years,2 - 4 years,College degree
25-34,Nonprofits,Manager of Governance and Assistant to the President,54000,0.0,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree
25-34,Law,Associate,190000,,District of Columbia,"Washington, DC",1 year or less,2 - 4 years,"Professional degree (MD, JD, etc.)"
45-54,Sales,Senior Account Manager,62500,62500.0,Florida,Pensacola,21 - 30 years,11 - 20 years,College degree
35-44,Nonprofits,Events and development coordinator,40000,0.0,Alaska,Fairbanks,11 - 20 years,11 - 20 years,College degree
35-44,Sales,Renewals Manager,120000,30000.0,Ohio,Columbus,11 - 20 years,11 - 20 years,College degree
25-34,Education (Higher Education),Postdoctoral Fellow,75000,0.0,Alabama,Birmingham,5-7 years,5-7 years,PhD
